Case_ID,prompt_tokens,prompt_length_source,matched_pdf
PA-72,67,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA72.pdf
PA-73,103,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA73.pdf
PA-74,91,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA74.pdf
PA-75,75,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA75.pdf
PA-76,100,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA76.pdf
PA-77,66,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA77.pdf
PA-78,104,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA78.pdf
PA-79,82,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA79.pdf
PA-80,102,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA80.pdf
PA-81,80,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA81.pdf
PA-82,138,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA82.pdf
PA-83,75,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA83.pdf
PA-84,99,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA84.pdf
PA-85,82,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA85.pdf
PA-86,76,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA86.pdf
PA-87,98,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA87.pdf
PA-88,100,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA88.pdf
PA-89,100,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PA_Cases/PA89.pdf
PN-1,82,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN1.pdf
PN-2,84,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN2.pdf
PN-3,101,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN3.pdf
PN-4,99,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN4.pdf
PN-5,70,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN5.pdf
PN-6,84,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN6.pdf
PN-7,89,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN7.pdf
PN-8,75,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN8.pdf
PN-9,81,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN9.pdf
PN-10,69,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN10.pdf
PN-11,75,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN11.pdf
PN-12,85,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN12.pdf
PN-13,80,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN13.pdf
PN-14,69,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN14.pdf
PN-15,111,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN15.pdf
PN-16,129,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN16.pdf
PN-17,76,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN17.pdf
PN-18,73,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN18.pdf
PN-19,106,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN19.pdf
PN-20,78,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN20.pdf
PN-21,76,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN21.pdf
PN-22,64,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN22.pdf
PN-23,104,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN23.pdf
PN-24,72,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN24.pdf
PN-25,94,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN25.pdf
PN-26,76,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN26.pdf
PN-27,80,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN27.pdf
PN-28,110,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN28.pdf
PN-29,98,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN29.pdf
PN-30,85,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN30.pdf
PN-31,67,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN31.pdf
PN-32,87,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN32.pdf
PN-33,99,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN33.pdf
PN-34,85,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN34.pdf
PN-35,75,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN35.pdf
PN-36,95,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN36.pdf
PN-37,66,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN37.pdf
PN-38,95,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN38.pdf
PN-39,95,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN39.pdf
PN-40,102,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN40.pdf
PN-41,106,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN41.pdf
PN-42,51,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN42.pdf
PN-43,73,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN43.pdf
PN-44,73,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN44.pdf
PN-45,91,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN45.pdf
PN-46,96,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN46.pdf
PN-47,82,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN47.pdf
PN-48,59,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN48.pdf
PN-49,84,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN49.pdf
PN-50,114,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN50.pdf
PN-51,87,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN51.pdf
PN-52,72,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN52.pdf
PN-53,65,rationale_fallback,Dataset_Construction/raw_data/chatgpt/PN_Cases/PN53.pdf
NE-1,94,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE1.pdf
NE-2,89,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE2.pdf
NE-3,82,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE3.pdf
NE-4,72,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE4.pdf
NE-5,67,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE5.pdf
NE-6,72,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE6.pdf
NE-7,67,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE7.pdf
NE-8,90,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE8.pdf
NE-9,96,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE9.pdf
NE-10,87,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE10.pdf
NE-11,77,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE11.pdf
NE-12,58,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE12.pdf
NE-13,88,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE13.pdf
NE-14,91,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE14.pdf
NE-15,74,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE15.pdf
NE-16,95,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE16.pdf
NE-17,116,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE17.pdf
NE-18,87,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE18.pdf
NE-19,68,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE19.pdf
NE-20,84,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE20.pdf
NE-21,74,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE21.pdf
NE-22,82,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE22.pdf
NE-23,79,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE23.pdf
NE-24,72,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE24.pdf
NE-25,70,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE25.pdf
NE-26,80,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE26.pdf
NE-27,91,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE27.pdf
NE-28,85,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE28.pdf
NE-29,96,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE29.pdf
NE-30,97,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE30.pdf
NE-31,91,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE31.pdf
NE-32,71,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE32.pdf
NE-33,74,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE33.pdf
NE-34,69,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE34.pdf
NE-35,1,rationale_fallback,
NE-36,79,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE36.pdf
NE-37,97,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE37.pdf
NE-38,69,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE38.pdf
NE-39,70,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE39.pdf
NE-40,65,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE40.pdf
NE-41,126,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE41.pdf
NE-42,67,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE42.pdf
NE-43,86,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE43.pdf
NE-44,67,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE44.pdf
NE-45,64,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE45.pdf
NE-46,82,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE46.pdf
NE-47,88,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE47.pdf
NE-48,1,rationale_fallback,
NE-49,83,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE49.pdf
NE-50,76,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE50.pdf
NE-51,1,rationale_fallback,
NE-52,59,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE52.pdf
NE-53,105,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE53.pdf
NE-54,87,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE54.pdf
NE-55,84,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE55.pdf
NE-56,130,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE56.pdf
NE-57,101,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE57.pdf
NE-58,123,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE58.pdf
NE-59,100,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE59.pdf
NE-60,77,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE60.pdf
NE-61,58,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE61.pdf
NE-62,100,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE62.pdf
NE-63,89,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE63.pdf
NE-64,95,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE64.pdf
NE-65,1,rationale_fallback,
NE-66,76,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE66.pdf
NE-67,89,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE67.pdf
NE-68,86,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE68.pdf
NE-69,81,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE69.pdf
NE-70,88,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE70.pdf
NE-71,76,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE71.pdf
NE-72,85,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE72.pdf
NE-73,58,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE73.pdf
NE-74,73,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE74.pdf
NE-75,82,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE75.pdf
NE-76,103,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE76.pdf
NE-77,91,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE77.pdf
NE-78,68,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE78.pdf
NE-79,79,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE79.pdf
NE-80,70,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE80.pdf
NE-81,86,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE81.pdf
NE-82,69,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE82.pdf
NE-83,77,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE83.pdf
NE-84,83,rationale_fallback,Dataset_Construction/raw_data/chatgpt/NE_Cases/NE84.pdf
CL-1,115,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL1.pdf
CL-2,95,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL2.pdf
CL-3,118,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL3.pdf
CL-4,123,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL4.pdf
CL-5,1,rationale_fallback,
CL-6,134,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL6.pdf
CL-7,92,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL7.pdf
CL-8,103,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL8.pdf
CL-9,106,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL9.pdf
CL-10,101,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL10.pdf
CL-11,102,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL11.pdf
CL-12,1,rationale_fallback,
CL-13,89,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL13.pdf
CL-14,108,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL14.pdf
CL-15,90,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL15.pdf
CL-16,105,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL16.pdf
CL-17,115,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL17.pdf
CL-18,81,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL18.pdf
CL-19,116,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL19.pdf
CL-20,1,rationale_fallback,
CL-21,84,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL21.pdf
CL-22,101,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL22.pdf
CL-23,1,rationale_fallback,
CL-24,108,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL24.pdf
CL-25,93,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL25.pdf
CL-26,96,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL26.pdf
CL-27,86,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL27.pdf
CL-28,71,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL28.pdf
CL-29,104,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL29.pdf
CL-30,98,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL30.pdf
CL-31,99,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL31.pdf
CL-32,112,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL32.pdf
CL-33,97,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL33.pdf
CL-34,112,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL34.pdf
CL-35,90,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL35.pdf
CL-36,114,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL36.pdf
CL-37,113,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL37.pdf
CL-38,94,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL38.pdf
CL-39,116,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL39.pdf
CL-40,94,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL40.pdf
CL-41,130,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL41.pdf
CL-42,91,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL42.pdf
CL-43,101,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL43.pdf
CL-44,122,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL44.pdf
CL-45,95,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL45.pdf
CL-46,79,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL46.pdf
CL-47,79,rationale_fallback,Dataset_Construction/raw_data/chatgpt/CL_Cases/CL47.pdf
