Case ID,PR_Link,Conversation_Link,Outcome_Class,Context,Specificity,Verification,Rationale,PQS ,PR_Size,Log_PR_Size,Has_Code,Adopt_Any,Fraction_Adopted,Status,Exp_Author_Repo,Time_To_Event,PR_Language,Merged_By_Author,Closed_By_Author,Closed_By_Author_new,Case_ID,PQS,Repository,PR_Number,Merged,Closed,Generated_Code,Adopted_Code,Resolved,Close_Event,Merge_Event
PA-15,https://github.com/box/developer.box.com/pull/533,https://chat.openai.com/share/4f37cdd1-acdb-4539-b134-9d7a54393a45,PA,1.0,1.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning about typescript language but does not include code snippets, code samples or functions Specificity was scored 1 because the goal is clear i.e to give an example of standard way of deprecating methods in TypeScript, but the prompt provides no clear constraints or output expectations, format. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. The provided example can be checked if it shows that the method is deprecated when run.",3,242.0,5.493061443,1.0,1.0,16.67,merged,67.0,2.0,Markdown,1.0,,,PA-15,3,box/developer.box.com,533,1,0,1,1,1,0,1
PA-16,https://github.com/citusdata/activerecord-multi-tenant/pull/199,https://chat.openai.com/share/ad170578-c628-4182-bc14-b4d46a2b1648,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt provides clear context by mentioning the library and language i.e activerecord-multi-tenant library in rails and provides code samples that includes code symbols. Specificity was scored 1 because the goal is clear i.e to get a unit test that checks if the implemented fix is actually working, but the prompt provides no clear constraints or output expectations, format. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. The unit test for the fix can be examined to see if it passed or failed.",4,36.0,3.610917913,1.0,1.0,3.57,merged,0.0,6.0,Ruby,0.0,,,PA-16,4,citusdata/activerecord-multi-tenant,199,1,0,1,1,1,0,1
PA-17,https://github.com/pyspark-ai/pyspark-ai/pull/1,https://chat.openai.com/share/0b7b9fec-30b4-40dd-b887-fb7328f303f2,PA,2.0,1.0,0.0,"Context was scored 2 because the prompt mentions python language and provides function names like exec() which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to get the result of exec() in python, but the prompt provides no clear constraints or output expectations, format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",3,2477.0,7.815207062,1.0,1.0,16.94,merged,0.0,3.0,Python,0.0,,,PA-17,3,pyspark-ai/pyspark-ai,1,1,0,1,1,1,0,1
PA-18,https://github.com/dust-tt/dust/pull/508,https://chat.openai.com/share/0c93321b-b553-430f-a06f-a6c82f56e4ee,PA,2.0,1.0,0.0,"Context was scored 2 because the prompt provides code snippets in typescript plus the function names which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to understand if there's a more idiomatic way to use “never” case in the provided code to make sure all enum values are handled, but the prompt provides no clear constraints or output expectations, format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",3,1630.0,7.396948603,1.0,1.0,6.3,merged,159.0,11.0,TypeScript,1.0,,,PA-18,3,dust-tt/dust,508,1,0,1,1,1,0,1
PA-19,https://github.com/exchange-wata/next.js14-tailwindcss-udemy-blog/pull/6,https://chat.openai.com/share/761f9bcf-3722-4b33-b7c5-37196253e07a,PA,2.0,1.0,0.0,"Context was scored 2 because the prompt provides code snippets in typescript plus the function names and symbols which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to get an explanation and an example of an implementation of a custom React hook provided in the source code, but the prompt provides no clear constraints or output expectations, format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",3,10.0,2.397895273,1.0,1.0,9.09,merged,2.0,3.0,TypeScript,1.0,,,PA-19,3,exchange-wata/next.js14-tailwindcss-udemy-blog,6,1,0,1,1,1,0,1
PA-20,https://github.com/firezone/firezone/pull/3621,https://chat.openai.com/share/b1bb1f8c-b376-42fe-a887-4499cf141b31,PA,2.0,2.0,1.0,"Context was scored 2 because the prompt provides exact functions and codes that has the issue to be resolved and provides grounding evidence i.e. signedOutNotification() function. This provides clear locus and concrete evidence. Specificity was scored 2 because the goal is clear i.e to debug code that triggers the notification to ensure the notification goes away when clicked and the prompt provides clear constraints. Verification was scored 1 because verification is implicitly implied i.e. can be verified by ensuring that the notification goes away when the notification is clicked, but no explicit correction conditions and test conditions are specified in the prompt.",5,154.0,5.043425117,1.0,1.0,14.29,merged,6.0,49.0,Kotlin,0.0,,,PA-20,5,firezone/firezone,3621,1,0,1,1,1,0,1
PA-21,https://github.com/hufscheer/client/pull/119,https://chat.openai.com/share/e693f6f2-de5a-4f90-a49f-8d95b8740ebb,PA,2.0,2.0,1.0,"Context was scored 2 because the prompt provides code snippets, function names like deleteLeague and symbols which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e to understand why the behavior of delete button misbehaves(deletes wrong item) in the provided code and how to fix the issue like implementing event.stopPropagate and the prompt provides mentions the expectations ( postconditions) Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked if the wrong item gets deleted or now the right item gets deleted",5,374.0,5.926926026,1.0,1.0,4.68,merged,0.0,1.0,TypeScript,1.0,,,PA-21,5,hufscheer/client,119,1,0,1,1,1,0,1
PA-22,https://github.com/jaoafa/VCSpeaker.kt/pull/70,https://chat.openai.com/share/be37cf76-8d76-4db7-a056-129e216f0fad,PA,1.0,2.0,2.0,"Context was scored 1 because the prompt provides partial context by mentioning about Kotlin programming language and sksamuel/scrimage library but not code examples, function names or symbols Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e to use the Kotlin sksamuel/scrimage library to generate code that draws a string on an image and outlines the string. It defines constraints like the text should be drawn in white, with a black border clearing setting the expectations ( postconditions) Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to draw a string on an image and outlines the string. That the text is drawn in white, with a black border which can be verified.",5,354.0,5.872117789,1.0,1.0,6.67,merged,10.0,1.0,Kotlin,0.0,,,PA-22,5,jaoafa/VCSpeaker.kt,70,1,0,1,1,1,0,1
PA-23,https://github.com/jsdom/jsdom/pull/3644,https://chat.openai.com/share/3892a3b2-1c1c-4b9c-9a0f-fe3df1c317ae,PA,2.0,2.0,2.0,Context was scored 2 because the prompt provides code snippets for the sample test cases with symbols and function names which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints and output format i.e to rewrite the provided test case and combine all the it() blocks from the original into one test() in the rewritten case. Prompt provides an example of a test case (for a different bug) in the format required for the rewritten test case. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output format to the example provided and also explictiy mentions that all should be combined into one test which can be verified,6,8717.0,9.073145133,1.0,1.0,7.69,merged,2.0,15.0,JSON,0.0,,,PA-23,6,jsdom/jsdom,3644,1,0,1,1,1,0,1
PA-24,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b,PA,1.0,2.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning the framework/language typescript but does not include code snippets, files, function names. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e creating an enum consisting of 5 categories, which are used to categorize software projects. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Initialising variables of type list for the created enum can be checked whether it succeeded or not, but the prompt doesn’t explicitly mention the test conditions or assertions.",4,247.0,5.513428746,1.0,1.0,7.69,merged,2.0,3.0,TypeScript,0.0,,,PA-24,4,viets-software-club/truffle-ai-backend,52,1,0,1,1,1,0,1
PA-25,https://github.com/langroid/langroid/pull/301,https://chat.openai.com/share/d7dbe641-4d5c-48db-8887-4260b04fa18e,PA,1.0,1.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning about the library pygithub but no code snippets or function names Specificity was scored 1 because the goal and scope is clear i.e to use the pygithub lib to get version numbers of the git repository and to look up pypi and get a list of the last 10 version numbers for the python package. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can get list of last 10 version numbers and this can be confirmed by comparing on pypi via the web",3,768.0,6.64509097,1.0,1.0,8.33,merged,27.0,61.0,Python,0.0,,,PA-25,3,langroid/langroid,301,1,0,1,1,1,0,1
PA-26,https://github.com/pass-culture/pass-culture-main/pull/9227,https://chat.openai.com/share/7f809ea3-cfcf-4ac2-80b9-1197feff7f1b,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt provides code snippets and function names e.g _stock_exists. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to refactor the provided code to avoid n+1 queries but lacks constraints or structured output requirements Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be verified whether the N+1 queries were reduced but it was explicitly mentioned in the prompt",4,215.0,5.375278408,1.0,1.0,11.76,merged,30.0,7.0,Python,1.0,,,PA-26,4,pass-culture/pass-culture-main,9227,1,0,1,1,1,0,1
PA-27,https://github.com/pokt-network/poktroll/pull/185,https://chat.openai.com/share/d68981db-26e1-431c-841d-2bb31096c0c9,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt mentions about golang programming language and provides code snippets , symbols and function names and provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to find out if there a goland strings helper that'll strip the preceding spaces in the source code and maintain readability but lacks constraints or structured output requirements Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be verified whether the readability in the source code is mantained.",4,835.0,6.728628613,1.0,1.0,11.99,merged,14.0,6.0,Go,1.0,,,PA-27,4,pokt-network/poktroll,185,1,0,1,1,1,0,1
PA-28,https://github.com/pyspark-ai/pyspark-ai/pull/1,https://chat.openai.com/share/0b7b9fec-30b4-40dd-b887-fb7328f303f2,PA,2.0,1.0,0.0,"Context was scored 2 because the prompt mentions and provides python language and function names like exec() which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to get the result of exec() in python, but the prompt provides no clear constraints or output expectations, format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",3,2477.0,7.815207062,1.0,1.0,16.94,merged,0.0,3.0,Python,0.0,,,PA-28,3,pyspark-ai/pyspark-ai,1,1,0,1,1,1,0,1
PA-29,https://github.com/pyspark-ai/pyspark-ai/pull/157,https://chat.openai.com/share/2bd66613-5dc1-427e-9277-fb45b317438a,PA,1.0,1.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning about python without specifying filepath, function name or some code snippets apart from describing how class should be. Specificity was scored 1 because the goal is clear i.e to write a python class that takes a file_path and max_size for init. With an API to read or create new files under the file_path. It defines some constraints like when the total size exceeds max_size, evict the least recent accessed file but lucks structured output requirements and well defined scope Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be verified whether the created class takes a file_path and max_size and also if the the least recent accessed file is evicted when total size exceeds max_size",3,339.0,5.828945618,1.0,1.0,5.26,merged,24.0,3.0,Python,0.0,,,PA-29,3,pyspark-ai/pyspark-ai,157,1,0,1,1,1,0,1
PA-30,https://github.com/qin-team-recipe/05-recipe-app/pull/62,https://chat.openai.com/share/4a9bc421-35fb-4452-bf93-c8fea1e3c473,PA,1.0,2.0,2.0,"Context was scored 1 because the prompt provides partial context by mentioning the frameworks React v18 and Next.js v13.4.0 but does not include code snippets, files, function names. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e output the expected programming source code based on the provided constraints and inputs. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to follow official Next.js documentation which can be verified.",5,403.0,6.001414878,1.0,1.0,11.11,merged,1.0,2.0,JSON,0.0,,,PA-30,5,qin-team-recipe/05-recipe-app,62,1,0,1,1,1,0,1
PA-31,https://github.com/seamapi/seam-cli/pull/68,https://chat.openai.com/share/82aa4e7b-43c4-4279-bb33-a347d85e4216,PA,1.0,2.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning about npm prompts without providing any code snippets or files. It clearly defines the goal and functional requirements: look good, allow adding items, allow removing items, and display the full list after each change, which provides explicit scope and constraints, so Specificity = 2. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. I.e Can be checked whether the a user can edit a string list and also whether the full list set is displayed after each addition/deletion.",4,79.0,4.382026635,1.0,1.0,12.9,merged,8.0,1.0,TypeScript,1.0,,,PA-31,4,seamapi/seam-cli,68,1,0,1,1,1,0,1
PA-32,https://github.com/timjuic/paypro-android/pull/8,https://chat.openai.com/share/d94fa9ba-11a5-4c40-bae8-067e01039e30,PA,2.0,,1.0,"Context was scored 2 because the prompt mentions about jetpack compose library/framework and provides code snippets. This provides clear locus and concrete evidence. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be verified that the modal window is implemented or not",3,210.0,5.351858133,1.0,1.0,6.95,merged,0.0,20.0,Kotlin,0.0,,,PA-32,3,timjuic/paypro-android,8,1,0,1,1,1,0,1
PA-33,https://github.com/uchicago-cs/chigame/pull/265,https://chat.openai.com/share/e3e3871f-4acd-4959-94a3-d260c84f8ede,PA,1.0,1.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning the framework django but does not include code snippets, files, function names. Specificity was scored 1 because the goal is clear i.e how to add a token to the user every month, and the prompt provides some constraints like ensuring it’s using django framework models /views though no expected output format and the scope isn’t very clear. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked whether a token is added to the user every month.",3,214.0,5.370638028,1.0,1.0,20.0,merged,1.0,14.0,Python,0.0,,,PA-33,3,uchicago-cs/chigame,265,1,0,1,1,1,0,1
PA-34,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b,PA,1.0,2.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning the framework/language typescript but does not include code snippets, files, function names. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e creating an enum consisting of 5 categories, which are used to categorize software projects. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Initialising variables of type list for the created enum can be checked whether it succeeded or not, but the prompt doesn’t explicitly mention the test conditions or assertions.",4,247.0,5.513428746,1.0,1.0,7.69,merged,2.0,3.0,TypeScript,0.0,,,PA-34,4,viets-software-club/truffle-ai-backend,52,1,0,1,1,1,0,1
PA-35,https://github.com/BitBoxSwiss/bitbox-wallet-app/pull/2368,https://chat.openai.com/share/f7b28f24-d71f-4502-9fa9-0b79b0e7cc20,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt provides java code snippets with functions and symbols. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to get correct way of triggering a callback when authentication is requested instead of a hack but lucks constraints, structured output and well defined scope Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified.Can be verified that callback is triggered and also not triggered multiple times when authentication is requested.",4,531.0,6.276643489,1.0,1.0,17.53,merged,98.0,7.0,Go,1.0,,,PA-35,4,BitBoxSwiss/bitbox-wallet-app,2368,1,0,1,1,1,0,1
PA-36,https://github.com/Mudlet/Mudlet/pull/7123,https://chat.openai.com/share/cf97d3d8-e419-4878-9a2b-87409195340a,PA,2.0,2.0,0.0,"Context was scored 2 because the prompt mentions a framework like Qt and the C++ programming language and provides example code snippets that have bugs/issues to be resolved and provides the stack trace and the line where the issue is.. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e suggestion of a fix to address the cause of the crash in the provided source code. It gives the exact line where the issue is coming from. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations, test rules that can be used to verify whether the code that was crushing now works as expected.",4,33.0,3.526360525,1.0,1.0,45.0,merged,626.0,78.0,C++,1.0,,,PA-36,4,Mudlet/Mudlet,7123,1,0,1,1,1,0,1
PA-37,https://github.com/QRTaxi/QRTaxi_Web/pull/29,https://chat.openai.com/share/41409ce2-fe94-4c74-b425-f0760f9d1ca3,PA,2.0,1.0,1.0,"Context was scored 2 because the prompt explicitly mentions frameworks like websocket, visibility api , mentions function names like document.addEventListener, handleVisibilityChange,etc, keywords like async/await and provides example code snippets in javascript. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e general inquiry of how to correctly remove the event listener which keeps on staying live, but,no clear scope defined and prompt was modified on each turn with different queries e.g how to resolve the typescript ESLint error. Verification was scored 1 because verification is implicitly implied by ensuring the event listener is removed, but no explicit correction conditions are specified.",4,132.0,4.890349128,1.0,1.0,20.0,merged,10.0,1.0,TypeScript,0.0,,,PA-37,4,QRTaxi/QRTaxi_Web,29,1,0,1,1,1,0,1
PA-38,https://github.com/StuartGavidia/businessapp/pull/35,https://chat.openai.com/share/1e410029-c111-4fde-be74-6c4e792d0722,PA,1.0,1.0,1.0,"Context was scored 1 because the prompt provides partial context by mentioning the react framework but does not include code snippets, files. Specificity was scored 1 because the goal is clear i.e whether there is a way to show a spinner on react on every page but no clear scope or constraints defined. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified.",3,17298.0,9.758403975,1.0,1.0,18.73,merged,0.0,27.0,JSON,1.0,,,PA-38,3,StuartGavidia/businessapp,35,1,0,1,1,1,0,1
