Case ID,PR_Link,Conversation_Link,Outcome_Class,Context,Specificity,Verification,Rationale,PQS
PA-11,https://github.com/alcionai/corso/pull/4417,https://chat.openai.com/share/9550ff9a-5077-459d-a35e-47c20890240e,PA,1,1,0,"Context was scored 1 because the prompt provides partial context by mentioning the language golang and frameworks like jwt but does not include code snippets, files. Context was scored 1 because the prompt provides partial context by mentioning the language golang and frameworks like jwt but does not include code snippets, files. Specificity was scored 1 because the goal is clear i.e general inquiry of how to check in golang whether the jwt token is still valid taking into account the current timezone might be different from the one in which the token was generated ,no clear scope defined. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations. Prompt Efficiency was scored 5 because the conversation resolves in a single turn without refinement (one-shot precision criterion) Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations.",2
PA-12,https://github.com/globalbibletools/gbt/pull/114,https://chat.openai.com/share/1e32601b-3ca7-400c-a1db-1fcbe3d652e7,PA,2,1,0,Context was scored 2 because the prompt mentions about the framework i.e swagger openapi and provides the openapi codes that need modification to add the tags and provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the prompt defines clear explicit goal i..e add tags to the the swagger openapi file. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria or test-like expectations.,3
PA-13,https://github.com/badass-courses/course-builder/pull/83,https://chat.openai.com/share/ba3beff6-497b-4bcb-bed6-e93e3412fb0d,PA,2,2,1,"Context was scored 2 because the prompt mentions sanity.io and mysql and provides sample sql code which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e the need to model access control to be able to read, write, and/or manage specific pieces of content and also display contributor credits. Defines constraints like schema of some tables, and defining a serializable schema using Zod and transitioning to mysql database from having two databases Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked to see if they’re no longer relying on sanity.io database and also if the content is the specified schema for sanity.io can be stored in the updated database schema for mysql.",5
PA-14,https://github.com/ssvlabs/ssv-web/pull/277,https://chat.openai.com/share/952f594b-24af-48d4-92ec-e06b3b3fbbff,PA,1,1,0,"Context was scored 1 because the prompt provides partial context by mentioning the language typescript and minimally about obj.values() function but does not include code snippets, files. Specificity was scored 1 because the goal is clear i.e general inquiry of whether there’s ordered dict in typescript so as to ensure values are aligned in the same order as using obj.values() but ,no clear scope defined. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations.",2
PA-15,https://github.com/box/developer.box.com/pull/533,https://chat.openai.com/share/4f37cdd1-acdb-4539-b134-9d7a54393a45,PA,1,1,1,"Context was scored 1 because the prompt provides partial context by mentioning about typescript language but does not include code snippets, code samples or functions Specificity was scored 1 because the goal is clear i.e to give an example of standard way of deprecating methods in TypeScript, but the prompt provides no clear constraints or output expectations, format. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. The provided example can be checked if it shows that the method is deprecated when run.",3
PA-16,https://github.com/citusdata/activerecord-multi-tenant/pull/199,https://chat.openai.com/share/ad170578-c628-4182-bc14-b4d46a2b1648,PA,2,1,1,"Context was scored 2 because the prompt provides clear context by mentioning the library and language i.e activerecord-multi-tenant library in rails and provides code samples that includes code symbols. Specificity was scored 1 because the goal is clear i.e to get a unit test that checks if the implemented fix is actually working, but the prompt provides no clear constraints or output expectations, format. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. The unit test for the fix can be examined to see if it passed or failed.",4
PA-17,https://github.com/pyspark-ai/pyspark-ai/pull/1,https://chat.openai.com/share/0b7b9fec-30b4-40dd-b887-fb7328f303f2,PA,2,1,0,"Context was scored 2 because the prompt mentions python language and provides function names like exec() which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to get the result of exec() in python, but the prompt provides no clear constraints or output expectations, format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",3
PA-18,https://github.com/dust-tt/dust/pull/508,https://chat.openai.com/share/0c93321b-b553-430f-a06f-a6c82f56e4ee,PA,2,1,0,"Context was scored 2 because the prompt provides code snippets in typescript plus the function names which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to understand if there's a more idiomatic way to use “never” case in the provided code to make sure all enum values are handled, but the prompt provides no clear constraints or output expectations, format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",3
PA-19,https://github.com/exchange-wata/next.js14-tailwindcss-udemy-blog/pull/6,https://chat.openai.com/share/761f9bcf-3722-4b33-b7c5-37196253e07a,PA,2,1,0,"Context was scored 2 because the prompt provides code snippets in typescript plus the function names and symbols which provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to get an explanation and an example of an implementation of a custom React hook provided in the source code, but the prompt provides no clear constraints or output expectations, format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",3
PA-20,https://github.com/firezone/firezone/pull/3621,https://chat.openai.com/share/b1bb1f8c-b376-42fe-a887-4499cf141b31,PA,2,2,1,"Context was scored 2 because the prompt provides exact functions and codes that has the issue to be resolved and provides grounding evidence i.e. signedOutNotification() function. This provides clear locus and concrete evidence. Specificity was scored 2 because the goal is clear i.e to debug code that triggers the notification to ensure the notification goes away when clicked and the prompt provides clear constraints. Verification was scored 1 because verification is implicitly implied i.e. can be verified by ensuring that the notification goes away when the notification is clicked, but no explicit correction conditions and test conditions are specified in the prompt.",5
PA-21,https://github.com/hufscheer/client/pull/119,https://chat.openai.com/share/e693f6f2-de5a-4f90-a49f-8d95b8740ebb,PA,2,2,1,"Context was scored 2 because the prompt provides code snippets, function names like deleteLeague and symbols which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e to understand why the behavior of delete button misbehaves(deletes wrong item) in the provided code and how to fix the issue like implementing event.stopPropagate and the prompt provides mentions the expectations ( postconditions) Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked if the wrong item gets deleted or now the right item gets deleted",5
PA-22,https://github.com/jaoafa/VCSpeaker.kt/pull/70,https://chat.openai.com/share/be37cf76-8d76-4db7-a056-129e216f0fad,PA,1,2,2,"Context was scored 1 because the prompt provides partial context by mentioning about Kotlin programming language and sksamuel/scrimage library but not code examples, function names or symbols Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e to use the Kotlin sksamuel/scrimage library to generate code that draws a string on an image and outlines the string. It defines constraints like the text should be drawn in white, with a black border clearing setting the expectations ( postconditions) Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to draw a string on an image and outlines the string. That the text is drawn in white, with a black border which can be verified.",5
PA-23,https://github.com/jsdom/jsdom/pull/3644,https://chat.openai.com/share/3892a3b2-1c1c-4b9c-9a0f-fe3df1c317ae,PA,2,2,2,Context was scored 2 because the prompt provides code snippets for the sample test cases with symbols and function names which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints and output format i.e to rewrite the provided test case and combine all the it() blocks from the original into one test() in the rewritten case. Prompt provides an example of a test case (for a different bug) in the format required for the rewritten test case. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output format to the example provided and also explictiy mentions that all should be combined into one test which can be verified,6
PA-24,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b,PA,1,2,1,"Context was scored 1 because the prompt provides partial context by mentioning the framework/language typescript but does not include code snippets, files, function names. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e creating an enum consisting of 5 categories, which are used to categorize software projects. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Initialising variables of type list for the created enum can be checked whether it succeeded or not, but the prompt doesn’t explicitly mention the test conditions or assertions.",4
PA-25,https://github.com/langroid/langroid/pull/301,https://chat.openai.com/share/d7dbe641-4d5c-48db-8887-4260b04fa18e,PA,1,1,1,"Context was scored 1 because the prompt provides partial context by mentioning about the library pygithub but no code snippets or function names Specificity was scored 1 because the goal and scope is clear i.e to use the pygithub lib to get version numbers of the git repository and to look up pypi and get a list of the last 10 version numbers for the python package. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can get list of last 10 version numbers and this can be confirmed by comparing on pypi via the web",3
PA-26,https://github.com/pass-culture/pass-culture-main/pull/9227,https://chat.openai.com/share/7f809ea3-cfcf-4ac2-80b9-1197feff7f1b,PA,2,1,1,"Context was scored 2 because the prompt provides code snippets and function names e.g _stock_exists. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to refactor the provided code to avoid n+1 queries but lacks constraints or structured output requirements Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be verified whether the N+1 queries were reduced but it was explicitly mentioned in the prompt",4
PA-27,https://github.com/pokt-network/poktroll/pull/185,https://chat.openai.com/share/d68981db-26e1-431c-841d-2bb31096c0c9,PA,2,1,1,"Context was scored 2 because the prompt mentions about golang programming language and provides code snippets , symbols and function names and provides grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to find out if there a goland strings helper that'll strip the preceding spaces in the source code and maintain readability but lacks constraints or structured output requirements Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be verified whether the readability in the source code is mantained.",4
PA-28,https://github.com/pyspark-ai/pyspark-ai/pull/1,https://chat.openai.com/share/0b7b9fec-30b4-40dd-b887-fb7328f303f2,PA,2,1,0,"Context was scored 2 because the prompt mentions and provides python language and function names like exec() which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to get the result of exec() in python, but the prompt provides no clear constraints or output expectations, format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations",3
PA-29,https://github.com/pyspark-ai/pyspark-ai/pull/157,https://chat.openai.com/share/2bd66613-5dc1-427e-9277-fb45b317438a,PA,1,1,1,"Context was scored 1 because the prompt provides partial context by mentioning about python without specifying filepath, function name or some code snippets apart from describing how class should be. Specificity was scored 1 because the goal is clear i.e to write a python class that takes a file_path and max_size for init. With an API to read or create new files under the file_path. It defines some constraints like when the total size exceeds max_size, evict the least recent accessed file but lucks structured output requirements and well defined scope Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be verified whether the created class takes a file_path and max_size and also if the the least recent accessed file is evicted when total size exceeds max_size",3
PA-30,https://github.com/qin-team-recipe/05-recipe-app/pull/62,https://chat.openai.com/share/4a9bc421-35fb-4452-bf93-c8fea1e3c473,PA,1,2,2,"Context was scored 1 because the prompt provides partial context by mentioning the frameworks React v18 and Next.js v13.4.0 but does not include code snippets, files, function names. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e output the expected programming source code based on the provided constraints and inputs. Verification was scored 2 because the prompt specifies the behavior rules and constrains the output to follow official Next.js documentation which can be verified.",5
PA-31,https://github.com/seamapi/seam-cli/pull/68,https://chat.openai.com/share/82aa4e7b-43c4-4279-bb33-a347d85e4216,PA,1,2,1,"Context was scored 1 because the prompt provides partial context by mentioning about npm prompts without providing any code snippets or files. It clearly defines the goal and functional requirements: look good, allow adding items, allow removing items, and display the full list after each change, which provides explicit scope and constraints, so Specificity = 2. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. I.e Can be checked whether the a user can edit a string list and also whether the full list set is displayed after each addition/deletion.",4
PA-32,https://github.com/timjuic/paypro-android/pull/8,https://chat.openai.com/share/d94fa9ba-11a5-4c40-bae8-067e01039e30,PA,2,1,1,"Context was scored 2 because the prompt mentions about jetpack compose library/framework and provides code snippets. This provides clear locus and concrete evidence. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be verified that the modal window is implemented or not",4
PA-33,https://github.com/uchicago-cs/chigame/pull/265,https://chat.openai.com/share/e3e3871f-4acd-4959-94a3-d260c84f8ede,PA,1,1,1,"Context was scored 1 because the prompt provides partial context by mentioning the framework django but does not include code snippets, files, function names. Specificity was scored 1 because the goal is clear i.e how to add a token to the user every month, and the prompt provides some constraints like ensuring it’s using django framework models /views though no expected output format and the scope isn’t very clear. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked whether a token is added to the user every month.",3
PA-34,https://github.com/viets-software-club/truffle-ai-backend/pull/52,https://chat.openai.com/share/48bd44b4-13a7-4ff8-9938-2214f0b17f6b,PA,1,2,1,"Context was scored 1 because the prompt provides partial context by mentioning the framework/language typescript but does not include code snippets, files, function names. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints i.e creating an enum consisting of 5 categories, which are used to categorize software projects. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Initialising variables of type list for the created enum can be checked whether it succeeded or not, but the prompt doesn’t explicitly mention the test conditions or assertions.",4
PA-35,https://github.com/BitBoxSwiss/bitbox-wallet-app/pull/2368,https://chat.openai.com/share/f7b28f24-d71f-4502-9fa9-0b79b0e7cc20,PA,2,1,1,"Context was scored 2 because the prompt provides java code snippets with functions and symbols. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to get correct way of triggering a callback when authentication is requested instead of a hack but lucks constraints, structured output and well defined scope Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified.Can be verified that callback is triggered and also not triggered multiple times when authentication is requested.",4
PA-36,https://github.com/Mudlet/Mudlet/pull/7123,https://chat.openai.com/share/cf97d3d8-e419-4878-9a2b-87409195340a,PA,2,2,0,"Context was scored 2 because the prompt mentions a framework like Qt and the C++ programming language and provides example code snippets that have bugs/issues to be resolved and provides the stack trace and the line where the issue is.. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints i.e suggestion of a fix to address the cause of the crash in the provided source code. It gives the exact line where the issue is coming from. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations, test rules that can be used to verify whether the code that was crushing now works as expected.",4
PA-37,https://github.com/QRTaxi/QRTaxi_Web/pull/29,https://chat.openai.com/share/41409ce2-fe94-4c74-b425-f0760f9d1ca3,PA,2,1,1,"Context was scored 2 because the prompt explicitly mentions frameworks like websocket, visibility api , mentions function names like document.addEventListener, handleVisibilityChange,etc, keywords like async/await and provides example code snippets in javascript. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e general inquiry of how to correctly remove the event listener which keeps on staying live, but,no clear scope defined and prompt was modified on each turn with different queries e.g how to resolve the typescript ESLint error. Verification was scored 1 because verification is implicitly implied by ensuring the event listener is removed, but no explicit correction conditions are specified.",4
PA-38,https://github.com/StuartGavidia/businessapp/pull/35,https://chat.openai.com/share/1e410029-c111-4fde-be74-6c4e792d0722,PA,1,1,1,"Context was scored 1 because the prompt provides partial context by mentioning the react framework but does not include code snippets, files. Specificity was scored 1 because the goal is clear i.e whether there is a way to show a spinner on react on every page but no clear scope or constraints defined. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified.",3
PA-39,https://github.com/UNLV-CS472-672/2024-S-GROUP1-Roadwatch/pull/107,https://chat.openai.com/share/c08923f2-f346-4f75-a701-32493ae2bd22,PA,1,2,2,"Context was scored 1 because the prompt provides partial context by mentioning about MUI components but no code snippets, symbols, just structure of what they want the card to be. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints and output format i.e to write code that ensures the app being created has a feature where users can create posts. Prompt specifies constraints such as the app being able to display the posts as Cards, utilize @MUI components and the output format is specified i.e.the post card should have a title ,a body and a button to view post Verification was scored 2 because the prompt specifies the behavior rules and constrains the output format to be of particular structure which can easily be verified. i.e. the created post card should have: - a title - a body - A button to view post",5
PA-40,https://github.com/UNLV-CS472-672/2024-S-GROUP1-Roadwatch/pull/120,https://chat.openai.com/share/02544161-0bdf-4b7e-8644-18d39aa174ff,PA,2,1,1,"Context was scored 2 because the prompt provides code snippets with function names,symbols and mentions about MUI Fab components which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to map which marker is pressed that should change the background color and set as the selected marker but lucks constraints, structured output and well defined scope Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can verify which marker is pressed that whether it changes the background color and whether it's set as the selected marker after.",4
PA-41,https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/208,https://chat.openai.com/share/e4dfc48b-7b4a-4dc4-881c-93505d5d52d6,PA,2,2,1,"Context was scored 2 because the prompt mentions typescript and provides code snippets with function names,symbols. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines a clear explicit goal and defines the scope and constraints and expected output behavior i.e to fix the typeScript code including the redundant MUI FAB components that performs the following behavior: If the messageSender.id is the same as the user id, align the bubbles to the left and if they're not, align the bubbles to the right. The prompt specifies constraints and expected behavior i.e. dynamically resize the size of the text bubble in relation to how much text is actually displayed in the bubble. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked whether the bubble alignment worked as expected and also whether the resizing functionality works as expected.",5
PA-42,https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/223,https://chat.openai.com/share/76270bd9-7a89-4f77-bc9e-91989a8c81b6,PA,2,2,1,"Context was scored 2 because the prompt mentions typescript and provides code snippets with function names,symbols. This provides clear locus and concrete evidence. Specificity was scored 2 because the prompt defines clear explicit goal and defines the scope and constraints and expected output behavior i.e to display all of the equipment in this array as touchable opacity, include explicit constraints and required behaviors e.g returning filtered list of the array, If no equipment is selected, it should return the original array, otherwise, it should only return selected equipment. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be verified that the elements are returned from the array and also whether they are also filtered from the original array.",5
PA-43,https://github.com/UNLV-CS472-672/2024-S-GROUP3-Barbell/pull/258,https://chat.openai.com/share/32926458-88e0-430c-a875-85edf02efb96,PA,2,1,0,"Context was scored 2 because the prompt provides react code snippets to examine including the function names and symbols like && . This provides clear locus and concrete evidence. Specificity was scored 1 because the prompt specifies a clear goal i.e how to reset this variable/constant in react and also understanding what some symbols and functions do but the prompt provides no clear scope and no constraints. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations. Prompt Efficiency was scored 3 because the conversation involved extended refinement (3 turns) Specificity was scored 1 because the prompt specifies a clear goal i.e how to reset this variable/constant in react and also understanding what some symbols and functions do but the prompt provides no clear scope and no constraints. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, expected behavior, invariants, or test-like expectations.",3
PA-44,https://github.com/VOICEVOX/voicevox/pull/1836,https://chat.openai.com/share/88524905-a324-4a6c-b54e-96d26ad06def,PA,2,1,1,"Context was scored 2 because the prompt provides code snippets to refactor with function names and symbols which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to refactor the provided code into something simpler yet more readable but lucks constraints, structured output Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. The refactored code can be checked whether its' simpler yet more readable",4
PA-45,https://github.com/annuaire-entreprises-data-gouv-fr/site/pull/796,https://chat.openai.com/share/caad291b-920c-4e2e-bcc1-04c191f2d587,PA,2,1,0,"Context was scored 2 because the prompt provides partial context by mentioning the typescript programming language and symbols like !array and includs scode snippets. Specificity was scored 1 because the goal is clear i.e general inquiry of how to check if something is null or empty in typescript but,no clear scope defined , constraints, or expected output format. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations.",3
PA-46,https://github.com/dotCMS/core/pull/25432,https://chat.openai.com/share/70bfe9b5-7897-4210-ad20-9a2c10e5f0d5,PA,2,1,1,"Context was scored 2 because the prompt mentions frameworks like angular and provides code snippets with some methods and symbols. This provides clear locus and concrete evidence. The goal is clearly defined (assessing and improving accessibility of a clickable Angular component), but no explicit constraints, output format, or bounded implementation requirements are specified, so Specificity = 1. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. I.e Can be checked whether the resulting component from the provided code snippet is accessible
  but the prompt provides no clear scope and no constraints.",4
PA-47,https://github.com/equinix/metal-cli/pull/405,https://chat.openai.com/share/4d97fa93-08b7-4e4d-8a7c-2343394a6ffe,PA,2,1,1,"Context was scored 2 because the prompt provides Go language code snippets with function implementations which provide grounding evidence. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e to understand whether t.Fatal make more sense than Error + return in the provided code and whether to setup a defer for the close but lucks constraints, structured output Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. It can be verified whether the code is closing the pipe correctly.",4
PA-48,https://github.com/annuaire-entreprises-data-gouv-fr/site/pull/796,https://chat.openai.com/share/caad291b-920c-4e2e-bcc1-04c191f2d587,PA,2,1,1,"Context was scored 2 because the prompt provides partial context by mentioning the typescript programming language and symbols like !array and includs scode snippets. Specificity was scored 1 because the goal is clear i.e to check if something is null or empty in typescript and s whether !array works for an empty array but lucks constraints, structured output Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked whether array is null or emptyi and wether s !array works for an empty array",4
PA-49,https://github.com/meta-llama/llama-cookbook/pull/279,https://chat.openai.com/share/70bfe9b5-7897-4210-ad20-9a2c10e5f0d5,PA,2,2,1,"Context was scored 2 because the prompt mentions python language, tools such curl, and provides code snippets with symbols. This provides clear locus and concrete evidence. It clearly defines the goal (write a Python script implementing the curl command) and constrains the solution to reproduce the same request behavior, including specific fields and values, so Specificity = 2. Verification was scored 1 because verification is implicitly implied, but no explicit correction conditions and test conditions are specified. Can be checked whether the written python script implements the provided curl command.",5
PA-50,https://github.com/jwjacobson/jazz_repertoire/pull/65,https://chat.openai.com/share/8242fb00-dd2a-4891-8318-935b7fd1d136,PA,2,1,0,"Context was scored 2 because the prompt mentions the django framework and provides exact code snippets to evaluate. This provides clear locus and concrete evidence. Specificity was scored 1 because the goal is clear i.e evaluate code and see if there’s N+1 potential in the provided code,but the prompt provides no clear scope and constraints. Verification was scored 0 because the prompt contains no explicit or implicit correctness criteria, test-like expectations, test rules that can be used to verify whether there’s N+1 potential.",3
